window,n_train,n_val,best_epoch,MAE,RMSE,DA
5,3259,250,17,0.014605707255485798,0.01872809352696212,0.536
6,3258,250,13,0.014645383628951774,0.018711593202507485,0.56
7,3257,250,16,0.014739008226045212,0.018821093387770337,0.524
8,3256,250,2,0.014962370327777016,0.018838491611932847,0.484
9,3255,250,13,0.014808515514816054,0.018763012413880068,0.548
10,3254,250,10,0.014884010872020924,0.01880884016296844,0.508
11,3253,250,2,0.014954280330317345,0.018838491427303688,0.48
12,3252,250,2,0.014994259514725258,0.01887829839125681,0.476
13,3251,250,3,0.01496750514472538,0.018870519124377615,0.456
14,3250,250,6,0.014945234189582254,0.018890858033795456,0.464
